"Cylinders","Price","Brand_encoded","Model_encoded","Car_Suv_encoded","UsedOrNew_encoded","Transmission_encoded","DriveType_encoded","FuelType_encoded","ColourExtInt_encoded","Location_encoded","BodyType_encoded","Kilometres_num","age","Price_log"
6,22999,13,175,13,0,1,2,1,173,420,3,59689,9,4.36172783601759
4,19999,23,165,13,0,1,0,1,240,357,3,105767,12,4.30102999566398
4,30999,33,207,12,0,1,0,3,207,420,2,87293,7,4.49136169383427
4,15990,15,202,13,0,1,0,1,148,97,3,154347,12,4.20387562327733
4,32888,38,279,28,0,1,0,1,240,344,5,20827,4,4.51705066882822
4,10995,39,171,4,0,1,0,1,207,97,0,147626,15,4.04123473117143
6,29990,38,274,28,0,1,3,2,247,326,5,114424,11,4.47699094682793
4,13950,23,150,4,0,0,0,1,155,410,0,153020,16,4.14460533871474
5,36999,29,348,30,0,1,3,2,170,160,4,98700,9,4.56820172406699
4,13990,33,237,4,0,1,0,3,248,118,0,126532,12,4.14584875659054
4,16990,22,89,4,0,1,0,1,247,324,0,73421,12,4.23021893988738
4,10995,39,248,13,0,1,0,1,240,97,3,155135,16,4.04123473117143
4,12990,17,135,4,0,1,0,1,247,324,0,123330,12,4.11364258277174
4,18990,22,89,4,0,1,0,1,198,478,0,44249,11,4.27854783377585
4,23999,23,127,4,0,1,0,1,118,527,0,27100,7,4.38021124171161
4,14995,23,150,4,0,1,0,1,207,97,0,70661,16,4.17597543174951
4,18995,22,277,30,0,1,3,2,207,75,4,215100,11,4.27866216090998
4,14990,33,237,4,0,1,0,3,314,326,0,155036,11,4.17583060416225
6,29950,42,356,4,0,1,2,3,294,551,0,67678,13,4.47641132713374
6,22999,13,175,7,0,1,2,1,240,357,1,133934,10,4.36172783601759
4,14990,33,237,4,0,1,0,3,148,118,0,174915,17,4.17583060416225
4,7888,13,46,13,0,1,0,1,148,233,3,117000,11,3.89702195606036
4,27990,17,183,7,0,1,2,2,127,118,1,190176,7,4.44701841424766
4,19800,22,277,30,0,0,3,2,207,140,4,231675,12,4.2966871237724
4,67988,42,470,13,0,1,2,3,219,532,3,23332,4,4.83243865350422
4,21880,33,237,7,0,1,0,3,240,420,1,130647,7,4.34006716613295
4,41888,44,375,28,0,1,0,3,240,568,5,47307,6,4.62209999273969
4,29990,18,251,28,0,1,4,3,198,335,5,74983,9,4.47699094682793
4,7920,23,165,4,0,0,0,3,124,46,0,102496,18,3.89878001328983
4,14999,17,90,4,0,1,0,1,198,357,0,84924,10,4.17609125905568
6,38950,50,483,28,0,1,3,2,240,557,5,159558,12,4.59051861191634
4,12990,29,141,4,0,1,0,1,198,46,0,67590,12,4.11364258277174
4,29990,21,228,28,0,1,4,1,240,344,5,65502,8,4.47699094682793
6,8950,29,93,28,0,1,4,1,207,242,5,173839,18,3.95187155712836
4,21290,20,236,30,0,1,3,2,240,420,4,258936,9,4.32819605994855
4,14995,39,361,28,0,1,4,2,294,126,5,292134,12,4.17597543174951
4,21290,39,333,30,0,1,3,2,159,420,4,251000,17,4.32819605994855
4,16388,23,150,4,0,1,0,1,196,410,0,130242,11,4.21455245523425
4,26990,17,226,28,0,1,0,1,159,326,5,35024,4,4.43121897519885
4,32000,42,267,28,0,1,4,2,207,238,5,44145,10,4.50516354981041
4,67988,42,470,13,0,1,2,3,219,532,3,29567,4,4.83243865350422
4,7600,23,165,4,0,1,0,3,219,27,0,223898,18,3.88087073253242
4,17990,17,142,4,0,1,0,1,207,97,0,155244,12,4.25505530355744
4,19950,39,248,13,0,1,0,1,211,143,3,149988,8,4.29996466862416
4,9990,22,89,4,0,1,0,1,155,97,0,205373,14,3.99960895897142
4,7999,14,151,4,0,1,0,1,247,242,0,201011,14,3.90308998699194
4,9995,29,335,12,0,0,2,2,207,97,2,305593,17,3.99982624745441
4,17888,13,125,28,0,1,0,1,170,420,5,83147,8,4.2525860640654
4,18995,22,277,30,0,1,3,2,207,75,4,204000,10,4.27866216090998
4,16857,18,200,28,0,0,4,1,155,532,5,122077,12,4.22680604950073
4,22990,23,223,28,0,1,0,1,228,326,5,60581,10,4.36155786144052
4,13950,20,236,30,0,0,3,2,207,238,4,259488,15,4.14460533871474
4,12990,13,83,28,0,1,0,1,211,182,5,186954,8,4.11364258277174
4,22990,21,188,4,0,1,0,1,155,420,0,21350,8,4.36155786144052
5,59990,44,463,4,0,1,4,3,240,326,0,47926,9,4.77808610132506
4,21880,22,277,30,0,0,2,2,207,277,4,88861,11,4.34006716613295
6,10990,38,274,28,0,1,3,2,136,31,5,199000,18,4.04103720786703
4,39990,45,299,13,0,1,2,4,228,420,3,72540,7,4.60196226407481
4,39990,39,210,4,0,1,0,4,170,455,0,87043,5,4.60196226407481
5,21990,29,348,30,0,0,3,2,159,118,4,254121,13,4.34224497854712
4,18990,15,202,4,0,0,0,3,148,97,0,165450,17,4.27854783377585
4,39990,15,250,28,0,1,0,1,207,377,5,15087,3,4.60196226407481
4,21990,20,236,30,0,1,3,2,207,238,4,159056,12,4.34224497854712
4,31990,17,258,28,0,1,4,2,207,455,5,97295,8,4.50502781581696
4,26990,23,283,28,0,1,4,1,155,238,5,83095,10,4.43121897519885
4,28999,40,328,30,0,1,3,2,207,160,4,192988,8,4.46239799789896
4,22500,45,338,4,0,1,0,2,170,238,0,105663,11,4.35220181965942
4,17990,39,306,12,0,0,2,1,159,185,2,222603,18,4.25505530355744
4,29990,23,127,4,0,1,0,1,211,455,0,11824,3,4.47699094682793
4,10990,39,210,4,0,1,0,1,148,97,0,250318,18,4.04103720786703
6,34800,38,274,28,0,1,3,3,240,326,5,39967,9,4.54159172349377
4,28984,17,258,28,0,1,0,1,100,217,5,38341,5,4.46217330470679
4,32990,39,248,13,0,1,0,1,198,326,3,7528,5,4.51839547977389
4,19999,15,129,13,0,1,0,1,198,357,3,94385,7,4.30102999566398
4,29990,39,309,28,0,1,4,3,155,455,5,110047,7,4.47699094682793
4,16990,21,288,28,0,1,4,2,198,118,5,164189,13,4.23021893988738
4,10800,13,46,4,0,1,0,1,207,140,0,106722,12,4.0334639660774
4,39880,40,382,28,0,1,0,2,159,420,5,72650,7,4.60076603953523
4,14995,21,188,13,0,1,0,1,148,67,3,123624,10,4.17597543174951
6,27990,47,420,13,0,1,2,3,198,326,3,155620,11,4.44701841424766
4,22990,23,127,4,0,1,0,1,193,455,0,53426,7,4.36155786144052
4,14995,39,210,4,0,1,0,1,148,97,0,114727,16,4.17597543174951
6,39280,39,336,28,0,1,4,1,247,420,5,98983,9,4.59418253535101
4,10990,33,237,4,0,1,0,3,98,46,0,160523,18,4.04103720786703
4,23950,20,198,28,0,1,0,1,155,242,5,39397,9,4.37932365075332
4,26990,17,189,4,0,1,0,1,207,238,0,54368,5,4.43121897519885
4,7990,13,46,4,0,1,0,1,148,125,0,220683,11,3.90260113066653
4,17900,39,248,13,0,1,0,1,247,160,3,89140,12,4.25287729256376
4,16990,39,210,4,0,1,0,1,173,142,0,149974,12,4.23021893988738
4,26990,17,189,4,0,1,0,1,207,420,0,44879,6,4.43121897519885
5,34913,23,323,30,0,1,3,2,207,200,4,110909,9,4.54299960757705
4,19990,39,210,4,0,1,0,1,240,326,0,109519,12,4.30083451916161
6,55888,21,421,13,0,1,2,1,371,568,3,19372,5,4.74732633902426
4,24950,39,361,28,0,1,4,1,148,217,5,155198,10,4.39708795620305
4,12800,15,88,4,0,1,0,1,116,384,0,111323,13,4.10724389757897
4,41280,42,434,4,0,1,2,3,299,420,0,79882,8,4.61575020919138
4,13990,33,237,4,0,0,0,3,148,97,0,155839,17,4.14584875659054
4,33898,18,251,28,0,1,4,1,211,420,5,66805,7,4.53018688696746
6,8913,29,93,28,0,1,2,2,148,200,5,227646,14,3.95007262975016
4,14888,21,106,4,0,1,0,1,148,540,0,88465,12,4.17286552991699
6,15995,13,175,13,0,1,2,1,170,97,3,237426,12,4.20401139546148
6,48999,39,481,30,0,0,3,2,88,142,4,41750,26,4.69019608002851
4,12990,39,333,30,0,0,2,2,159,420,4,345194,12,4.11364258277174
4,23990,39,210,4,0,1,0,1,173,352,0,130970,8,4.38004835073693
4,24888,15,202,13,0,1,0,1,198,410,3,35612,9,4.39600744770516
4,13999,44,263,4,0,1,0,3,109,46,0,148265,12,4.14612803567824
4,27950,17,189,4,0,1,0,1,300,80,0,83494,7,4.44639735020859
4,13990,23,127,4,0,1,0,1,148,142,0,85492,13,4.14584875659054
4,19999,33,334,28,0,1,4,3,247,200,5,126408,12,4.30102999566398
4,22950,26,239,12,0,0,0,2,207,217,2,173156,8,4.36080161296785
4,14990,12,95,4,0,0,0,3,247,217,0,78783,12,4.17583060416225
4,69800,50,483,28,0,1,4,3,219,535,5,26227,5,4.84386164456257
4,20995,15,218,28,0,1,0,1,219,97,5,101821,8,4.3221365640961
4,14413,22,277,30,0,0,3,2,207,200,4,221872,11,4.15878451772342
4,14776,20,52,13,0,1,0,1,207,410,3,90691,10,4.16958627332191
4,29990,23,165,13,0,1,0,1,170,478,3,24305,7,4.47699094682793
4,7950,44,273,13,0,1,0,3,198,316,3,168901,18,3.90042175345774
4,7949,15,100,13,0,1,0,1,62,20,3,167562,20,3.90036712865647
6,29999,44,466,28,0,1,4,2,211,160,5,152995,9,4.47712125471966
4,8880,39,210,13,0,1,0,1,118,384,3,236946,18,3.94846187006128
6,12990,13,175,7,0,1,2,1,148,125,1,183580,14,4.11364258277174
4,19888,20,198,28,0,1,0,2,173,410,5,124882,10,4.29861294775995
4,5950,23,165,13,0,1,0,3,62,80,3,247519,20,3.77458995026479
4,51990,44,375,28,0,1,0,3,228,481,5,9819,4,4.71592817077663
6,16000,47,366,13,0,1,2,1,219,80,3,124230,21,4.20414712521285
4,33990,22,277,30,0,1,2,2,159,466,4,43839,5,4.5313639415202
4,16990,17,189,4,0,1,0,1,148,97,0,106286,13,4.23021893988738
6,36888,39,336,28,0,1,0,1,207,420,5,128601,7,4.56689688237865
6,16999,18,251,28,0,1,4,3,314,324,5,91016,14,4.23044892137827
4,29800,46,247,13,0,1,2,2,211,535,3,38821,11,4.47423083747207
4,22990,20,198,28,0,1,0,1,207,97,5,94239,10,4.36155786144052
5,23913,29,348,30,0,0,3,2,207,200,4,167122,12,4.3786522249085
4,8990,15,100,13,0,1,0,3,198,118,3,207966,21,3.95380799766531
5,29999,29,348,30,0,0,3,2,136,277,4,108767,8,4.47712125471966
4,16420,33,152,4,0,1,0,3,159,46,0,39578,10,4.21539960109389
4,16990,23,127,4,0,1,0,1,88,324,0,105633,10,4.23021893988738
4,7880,20,52,13,0,1,0,1,228,97,3,169981,23,3.89658132750573
4,21995,17,142,4,0,1,0,1,240,97,0,138263,10,4.34234371100984
4,5999,39,210,4,0,1,0,1,198,35,0,238016,19,3.77815125038364
4,27995,44,375,28,0,1,4,2,334,97,5,73021,11,4.44709598484138
4,8995,13,46,13,0,1,0,2,162,126,3,106831,15,3.95404944676359
4,7995,17,189,4,0,1,0,1,155,97,0,209552,13,3.90287278544608
4,30888,22,241,28,0,1,4,1,155,344,5,51311,4,4.48980384868631
6,24990,38,274,28,0,1,3,2,314,159,5,137763,11,4.39778363450951
4,39990,15,250,28,0,1,0,1,211,377,5,21532,3,4.60196226407481
6,54990,50,483,28,0,1,3,2,314,326,5,139968,10,4.74029161730932
4,28990,22,277,30,0,0,3,2,148,125,4,154276,10,4.46226319593422
4,11490,21,106,4,0,0,0,1,98,388,0,131990,12,4.06035782464862
4,18995,39,210,4,0,1,0,1,207,532,0,173605,6,4.27866216090998
4,34995,39,306,12,0,1,2,2,159,142,2,160331,8,4.54401840785878
6,7995,13,175,7,0,1,2,1,207,97,1,203500,15,3.90287278544608
4,49913,39,333,30,0,1,3,2,207,200,4,37726,7,4.69822237468117
4,23400,23,150,4,0,1,0,1,240,481,0,50304,7,4.36923441660683
6,44990,42,401,4,0,1,2,3,240,326,0,59223,7,4.65312564619192
4,12995,17,90,13,0,1,0,1,198,97,3,103629,12,4.11380970267295
6,23913,38,274,28,0,1,3,2,155,200,5,92805,10,4.3786522249085
4,9888,45,299,13,0,1,2,1,298,324,3,98800,20,3.99515237689145
6,13990,13,175,7,0,1,2,1,198,532,1,127994,16,4.14584875659054
4,15999,18,159,4,0,1,4,1,314,357,0,171352,10,4.20411998265593
5,38800,23,323,30,0,1,3,2,207,140,4,31931,10,4.58884291860672
4,11800,14,151,4,0,1,0,1,219,97,0,158817,14,4.07191881036381
4,16990,33,237,4,0,0,0,3,127,185,0,89757,9,4.23021893988738
4,18990,45,216,13,0,1,2,3,198,217,3,120209,14,4.27854783377585
6,13800,13,175,7,0,1,2,1,207,384,1,174239,14,4.13991055587568
4,12995,39,248,13,0,1,0,1,62,97,3,95362,21,4.11380970267295
4,32980,39,309,28,0,1,4,3,213,198,5,67615,7,4.51826381952857
4,35800,44,330,28,0,1,0,3,188,535,5,38238,7,4.55389515760523
4,28950,21,288,28,0,1,4,2,207,217,5,157465,7,4.46166356934087
4,28880,17,258,28,0,1,4,2,207,449,5,116134,8,4.46061222653483
4,32950,20,349,28,0,0,3,2,170,242,5,165374,18,4.51786859913919
4,26300,17,189,4,0,1,0,1,159,326,0,40178,5,4.419972261274
4,10499,15,100,13,0,1,0,3,92,217,3,191701,15,4.02118929906994
4,25990,22,191,28,0,1,0,1,207,238,5,43534,6,4.41482298924042
4,23990,20,240,28,0,1,0,1,240,388,5,77936,10,4.38004835073693
4,26990,33,269,7,0,1,0,3,240,388,1,49801,10,4.43121897519885
4,16950,18,200,28,0,1,4,1,219,143,5,121608,12,4.22919532387664
4,13999,26,132,7,0,1,0,3,124,185,1,112133,11,4.14612803567824
4,31950,26,239,12,0,0,0,2,207,410,2,153438,7,4.50448445522323
4,13995,39,333,30,0,0,2,1,207,67,4,215189,12,4.14600393381087
4,12990,13,46,13,0,0,0,1,314,217,3,139558,9,4.11364258277174
4,25995,33,300,12,0,0,2,2,159,142,2,265837,9,4.41490652829503
4,10995,17,189,4,0,1,0,1,159,97,0,186939,15,4.04123473117143
4,15888,21,188,4,0,1,0,1,240,200,0,103354,10,4.20109656503947
4,22999,39,181,7,0,1,0,1,159,324,1,115000,13,4.36172783601759
4,23999,39,248,13,0,1,0,1,107,384,3,97480,8,4.38021124171161
4,29888,39,210,4,0,1,0,1,159,513,0,82020,7,4.47551138503771
4,34990,15,218,28,0,1,0,1,211,377,5,29007,5,4.54395635426559
4,24990,21,228,28,0,1,0,1,159,453,5,115759,8,4.39778363450951
4,6990,39,248,13,0,1,0,1,170,20,3,260901,19,3.84453930212901
4,35995,17,214,12,0,1,2,2,211,532,2,57505,7,4.55625424314383
4,16420,18,159,13,0,0,4,3,127,46,3,153891,16,4.21539960109389
6,9913,13,43,30,0,0,2,1,207,200,4,169587,20,3.99624891456913
4,21888,39,361,28,0,1,0,1,240,410,5,119342,10,4.34022592125719
6,41950,33,372,30,0,1,3,2,228,557,4,132194,9,4.62274231771074
4,15984,13,87,4,0,1,0,3,88,217,0,128928,8,4.20371264060771
6,13995,39,336,28,0,1,3,1,207,97,5,269287,15,4.14600393381087
4,35990,39,210,4,0,1,0,4,198,352,0,60906,6,4.55619391357285
4,14900,20,198,28,0,1,0,1,155,384,5,188702,10,4.17321541471489
4,34880,42,267,28,0,1,0,2,212,485,5,41275,8,4.54258892718531
4,8950,23,165,7,0,1,0,3,155,80,1,196135,17,3.95187155712836
5,36990,29,348,30,0,1,3,2,240,458,4,196114,8,4.5680960720186
4,19990,17,183,7,0,1,2,3,148,125,1,152352,16,4.30083451916161
4,16995,39,361,28,0,1,4,2,148,97,5,165245,12,4.23034672241748
6,23990,39,336,28,0,1,3,1,240,324,5,101222,13,4.38004835073693
4,23888,13,256,30,0,1,2,2,97,126,4,164863,7,4.37819797044592
4,24950,39,210,4,0,1,0,1,148,410,0,74113,9,4.39708795620305
6,8999,13,83,28,0,1,4,1,18,112,5,121948,13,3.95424250943932
4,13913,45,299,13,0,1,2,3,148,200,3,73989,16,4.14345199902163
4,11880,35,322,7,0,1,0,2,211,478,1,81608,15,4.07485299588125
4,43990,47,397,28,0,1,0,1,240,326,5,5159,6,4.64336383443755
4,15990,17,183,7,0,1,2,3,211,97,1,240239,16,4.20387562327733
4,26990,17,258,28,0,1,0,1,159,453,5,104066,6,4.43121897519885
4,21800,21,106,4,0,1,0,1,155,535,0,67712,5,4.33847641491292
4,23990,35,185,7,0,1,0,3,170,478,1,19768,6,4.38004835073693
4,41990,20,236,30,0,0,3,2,148,233,4,62782,7,4.62315621732216
4,37888,39,333,30,0,1,3,2,207,420,4,162384,8,4.57851314314216
6,23950,46,247,13,0,1,2,2,229,551,3,133360,14,4.37932365075332
4,20995,22,191,28,0,1,0,1,207,97,5,89044,8,4.3221365640961
4,20444,21,149,4,0,1,0,1,247,200,0,4758,4,4.31058711489035
4,23400,39,361,28,0,1,0,1,240,217,5,130569,10,4.36923441660683
4,49880,15,202,4,0,0,0,3,355,536,0,88363,8,4.69793515150515
4,10999,39,361,28,0,0,3,1,124,46,5,192415,18,4.04139268515823
4,14913,40,328,30,0,0,2,2,207,200,4,223907,12,4.17359413875463
6,16999,29,93,28,0,1,4,2,247,420,5,157563,13,4.23044892137827
4,21990,40,328,30,0,1,3,2,97,126,4,310215,9,4.34224497854712
4,13995,23,150,13,0,0,0,1,247,97,3,209628,9,4.14600393381087
6,41999,21,331,7,0,1,0,1,288,112,1,76027,7,4.6232492903979
4,24888,23,150,4,0,0,0,1,159,410,0,55677,6,4.39600744770516
4,9990,39,248,13,0,1,0,1,198,35,3,134916,16,3.99960895897142
4,26888,29,141,4,0,0,0,3,127,410,0,117686,9,4.4295746511427
4,11995,13,125,28,0,1,0,1,298,126,5,146059,10,4.07903645708749
4,24888,20,198,28,0,1,0,1,98,519,5,98754,7,4.39600744770516
6,19995,13,175,13,0,1,2,1,219,97,3,207234,11,4.30094312808055
4,9800,8,77,4,0,0,0,3,155,97,0,79452,10,3.9912703891951
4,12990,23,127,4,0,1,0,1,198,142,0,139976,13,4.11364258277174
4,26888,33,237,4,0,1,0,3,247,410,0,98900,10,4.4295746511427
4,34950,45,305,28,0,1,4,3,219,410,5,99459,9,4.54345960606937
4,37990,27,308,28,0,1,3,3,198,519,5,34291,5,4.57968072521479
4,39990,23,283,28,0,1,4,1,136,420,5,37811,8,4.60196226407481
6,11800,13,175,13,0,1,2,1,155,97,3,181747,13,4.07191881036381
4,46990,29,348,30,0,1,3,2,240,458,4,79801,5,4.67201468719918
4,34990,17,214,12,0,1,2,2,240,519,2,91989,8,4.54395635426559
4,16880,17,189,4,0,1,0,1,173,420,0,107647,12,4.22739816987365
4,21990,17,189,4,0,1,0,1,207,478,0,86144,7,4.34224497854712
4,16880,41,116,7,0,1,0,3,198,324,1,120720,12,4.22739816987365
4,12999,23,165,13,0,1,0,1,155,160,3,201306,10,4.11394335230684
4,24990,21,199,28,0,1,0,1,100,326,5,12412,3,4.39778363450951
4,52888,47,430,28,0,1,0,3,198,472,5,41988,6,4.72336535566358
4,21488,18,201,28,0,1,4,1,211,410,5,117106,10,4.33221620587828
4,17999,33,334,28,0,1,0,3,124,185,5,85601,11,4.25527250510331
4,16995,17,90,4,0,1,0,1,240,97,0,153986,8,4.23034672241748
4,24990,39,248,13,0,1,0,1,198,335,3,70759,10,4.39778363450951
4,39950,39,481,28,0,1,3,2,219,217,5,189152,13,4.60152765446469
4,12999,23,150,13,0,1,0,1,211,160,3,197191,10,4.11394335230684
4,41990,22,312,28,0,1,3,2,247,459,5,72640,7,4.62315621732216
4,10995,20,198,28,0,1,3,1,148,97,5,187550,21,4.04123473117143
5,26000,29,348,30,0,1,3,2,159,420,4,226455,9,4.41499005128352
4,39950,50,483,28,0,1,4,2,207,410,5,103473,9,4.60152765446469
4,27990,14,224,28,0,1,0,3,160,459,5,75607,6,4.44701841424766
6,7999,23,354,28,0,1,3,1,198,242,5,219702,16,3.90308998699194
4,22800,44,263,4,0,1,0,3,207,535,0,40260,12,4.35795389458634
4,27888,39,210,4,0,1,0,4,170,408,0,48825,7,4.44543294229517
4,29990,32,285,7,0,0,4,3,314,159,1,163591,7,4.47699094682793
5,27990,29,348,30,0,1,3,2,240,326,4,177060,11,4.44701841424766
4,39990,22,277,30,0,0,3,2,173,459,4,91792,7,4.60196226407481
4,17880,10,131,28,0,1,0,2,219,539,5,83656,9,4.25239180318124
4,14990,12,170,28,0,1,0,3,169,97,5,148600,11,4.17583060416225
6,32990,13,310,28,0,1,2,1,136,459,5,40898,6,4.51839547977389
4,8995,18,200,28,0,0,4,1,314,97,5,220235,17,3.95404944676359
4,12449,23,127,4,0,1,0,1,155,410,0,151436,11,4.09516935143176
4,9999,13,48,4,0,1,0,1,9,112,0,53202,16,4
4,28990,18,201,28,0,1,4,1,156,459,5,73901,8,4.46226319593422
6,15900,39,333,30,0,1,2,1,159,217,4,252569,15,4.20142443757991
6,18888,38,274,28,0,1,4,2,219,324,5,180000,12,4.27620896660486
4,12999,45,231,13,0,1,2,2,148,420,3,196245,14,4.11394335230684
4,35950,15,202,4,0,1,0,1,219,410,0,73511,7,4.55571097506499
4,11999,45,216,13,0,1,2,3,211,11,3,209809,15,4.07918124604763
4,45000,45,338,13,0,1,0,3,207,238,3,53241,6,4.6532221646566
4,27990,15,250,28,0,1,0,1,314,459,5,89077,8,4.44701841424766
4,14999,45,275,13,0,1,2,3,219,160,3,123517,12,4.17609125905568
4,32990,18,200,28,0,1,4,1,228,459,5,145821,6,4.51839547977389
